Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,700,44,-1288.7291259765625,0.9956059455871582,0.00012026878943434146,0.9877256666083316,0.0003529545774588695
halpha_ew_mean,700,40,-1263.6466064453125,0.9987843036651611,0.0001374886531639891,0.9961129282380723,0.00044839035395017896
oiii_5007_ew_mean,700,44,-1187.54345703125,0.997939944267273,0.00022835346091187037,0.9934939311155366,0.0007099513911740541
hbeta_ew_mean,700,43,-1287.2960205078125,0.9987334609031677,0.00011743413993904307,0.9960356337701458,0.0003757021815192488
nii_6584_ew_std,700,37,-1319.9002685546875,0.9506972432136536,9.770182391406874e-05,0.8388788521388825,0.00032579626375935745
halpha_ew_std,700,38,-1314.3048095703125,0.9891642928123474,0.00010141518925009849,0.9622063611617324,0.0003758059993871498
oiii_5007_ew_std,700,43,-1160.2685546875,0.8263269662857056,0.0002738905239658603,0.6161385735206177,0.0007355487256681041
hbeta_ew_std,700,39,-1305.9697265625,0.9851813912391663,0.00010368806416594106,0.9590706411161783,0.00030372172309551377
cov_nii_6584_ew_halpha_ew,700,41,-1519.16455078125,0.9829841256141663,2.4208020390103766e-05,0.8764865207119225,0.00020294973928280512
cov_nii_6584_ew_oiii_5007_ew,700,42,-1502.82080078125,0.9619933366775513,2.885981979489587e-05,0.8836878662876979,0.00010410262681815999
cov_nii_6584_ew_hbeta_ew,700,41,-1537.9215087890625,0.9765321016311646,2.136249800545802e-05,0.9226055522614385,7.937703472527419e-05
cov_halpha_ew_oiii_5007_ew,700,41,-1396.9862060546875,0.9652613401412964,5.4663983620796645e-05,0.8682159054000139,0.00023988115935565037
cov_halpha_ew_hbeta_ew,700,43,-1444.45263671875,0.9891082048416138,3.983565122685145e-05,0.9590119546230551,0.00016510273164161628
cov_oiii_5007_ew_hbeta_ew,700,45,-1403.792236328125,0.9546712636947632,5.401362620202336e-05,0.8623760854811121,0.00018375584135246759
